"# W/ DUPLICATIONS","#","HIPASS_NAME","OBS_RUN_NIGHT","OBS_DATE","NAME","OBSERVATION COMMENTS","NOD&SHUFFLE","RA","DEC","USED/OR NOT","COMMENT_ON_PPXF","MORPHOLOGICAL_TYPE (BASIC DATA)","MORPHOLOGY_SHORTENED","REDSHIFT","REDSHIFT UNCERTAINTY","MAJOR_AXIS","MINOR_AXIS","BASIC_MAGNITUDE","MAJOR_DIAMETER (ESO Uppsala)","MINOR/MAJOR RATIO (ESO Uppsala)","POSITION ANGLE (ESO Uppsala)","MAJOR_DIAMETER (RC3)","MAJOR_DIAMETER_UNC (RC3)","MINOR/MAJOR RATIO (RC3)","MINOR/MAJOR RATIO UNC (RC3)","POSITION ANGLE (RC3)","HIPASS_RV50max","HIPASS_RV50min","HIPASS_RV20max ","HIPASS_RV20min ","HIPASS_Rvmom ","HIPASS_Rvsp","HIPASS_RVGSR ","HIPASS_RVLG ","HIPASS_RVCMB ","HIPASS_RV1 ","HIPASS_RV2 ","HIPASS_RVsp1 ","HIPASS_RVsp2 ","HIPASS_RVmask","HIPASS_W50max ","HIPASS_W50min ","HIPASS_W20max ","HIPASS_W20min ","HIPASS_Speak","HIPASS_Sint","HIPASS_RMS","HIPASS_RMSclip","HIPASS_RMScube","HIPASS_cube","HIPASS_Sigma","HIPASS_Boxsize","HIPASS_Qual","HIPASS_nb","HIPASS_cf","HIPASS_ext","RC3_PGC","RC3_D25","RC3_e_D25","RC3_R25","RC3_e_R25","RC3_Ae","RC3_e_Ae","A_e in arcsec","RC3_PA","RC3_BT","RC3_BT_code","RC3_e_BT","RC3_Bmag","RC3_e_Bmag","RC3_BoT","RC3_Ai","RC3_Ag","RC3_W50","RC3_e_W50","RC3_cz","2MASX_ID","2MASX_K_b/a","2MASX_K_PA","2MASX_K_mag","2MASX_K_mag_sigma","2MASX_K_mag_chi2","2MRS_E(B-V)","ABSOLUTE_MAGNITUDE_B","ABSOLUTE_MAGNITUDE_K","cos^2(i)","sini","INCLINATION_FROM_R25","HIPASS_W50max_z","HIPASS_W50max_zs","HIPASS_W50max_zst","HIPASS_W50max_zsti","BILBI_CENTRAL_VELOCITY_DISPERSION","BILBI_ERR_VELOCITY_DISP","BILBI_ROTATIONAL_VELOCITY","BILBI_ERR_ROTATIONAL_VELOCITY","BILBI_POSITION_ANGLE","BILBI_STD_DEV_POS_ANG","BILBI_COMMENT_POS_ANG","BILBI_Wmax_z","BILBI_Wmax_zs","BILBI_Wmax_zst","BILBI_Wmax_zsti","IN_THE_TABLE_OR_NOT"
77,59,"HIPASSJ1127-28","run4/night5","19.03.2013","IC_2764 ","so cloudy; there were no clear galaxy in the frame (non-reduced)",0,"11h27m05.0s ","-28d58m49s","not used","low snr","(R)SA(r)0/a         ","S0a",0.005574,0.000025,1.6,1.4,13.14,116.14,0.819,178,97.3,9.4,0.871,0.084,"                    ",1671.1,1721,1671.2,1671.2,1674.8,1744.6,1483.8,1394.8,2018.1,1554.4,1791,200.1,3030.3,"1554.4;1791.0",182.2,82.5,196.4,196.4,0.0652,9.4,0.0085,0.0071,0.0138,211,198,28,1,0,0,0,35222,1.21,0.04,0.06,0.04," "," ",," "," "," "," ",13.14,0.21,12.79,0.05,0.28," "," ",1635,"11270503-2858488",0.76,10,9.247,0.033,6.672,0.067,-19.4759936703,-23.1235011749,0.7550502993,0.4949239342,29.6647345992,181.1900466798,177.7580466798,177.6101646837,358.8635594374,"None","None","None",,"None","None",,"None","None","None","None",0
78,60,"HIPASSJ1137-05","run1/night6","27.05.2012","LCRS_B113526.0",,1,"11h37m59.1s","-05d37m23s","not used?","low snr","SA0+?               ","S0",0.007049,0.000025,1.3,0.9,15.23,"                    ","                    ","                    ",79.1,16,0.708,0.143,"                    ",2113.3,2049.4,2114.1,2114.1,2111.8,2025.2,1977,1903.4,2480.3,1984.6,2247.8,582.3,3665.7,"1984.6;2247.8",208.4,80.6,227.3,227.3,0.0642,9.6,0.0059,0.0053,0.0122,361,106,28,1,1,0,0,36031,1.12,0.08,0.15,0.08," "," ",," "," "," "," "," "," "," ",0,0.12," "," "," ","11375914-0537227",0.66,35,11.909,0.075,0.738,,"None",-20.8961413701,0.4938993848,0.7114074889,45.3495481785,206.9412709809,203.5092709809,203.4892525653,286.0375463381,31.8160025843,4.2216964414,"None",,"None","None","so few pixels to get the angle","None","None","None","None",1
79,61,"HIPASSJ1149-38","run7/night1","29.05.2014","ESO_320G026",,1,"11h49m50.31s","-38d47m04.1s","not used","so few pixels to work","Sb             HII  ","Sb",0.009188,0.000021,2.4,0.9,12.83,164.06,0.367,163,143.9,13.9,0.372,0.036,163," "," "," "," ",2754.6,2762.3,2558.7,2467.7,3066,2509.7,2889.8,1266.9,4171.6,"2509.7;2889.8;2530.0;3235.2"," "," "," "," ",0.0903,17.6,0.0082,0.0072,0.013,126,158,28,1,0,1,0,36964,1.38,0.04,0.43,0.04," "," ",,163," "," "," ",12.83,0.21,11.77,0.6,0.44," "," ",2840,"11495032-3847041",0.4,-20,8.681,0.023,9.9,0.109,"None","None",0.125444832,0.9351765437,69.256685553,"None","None","None","None","None","None","None",,"None","None",,"None","None","None","None",1
80,62,"HIPASSJ1154-20","run1/night2","23.05.2012","NGC_3956",,1,"11h54m00.7s ","-20d34m02","not used","reduction issues","SA(s)c         HII  ","Sc",0.005487,0.000017,3.4,1,13.05,201.84,0.298,58,203.3,9.6,0.295,0.021,58,1656.5,1656.5,1657.5,1657.5,1651.1,1557.9,1486.6,1401.9,2005.9,1483.9,1838.7,200.1,3030.3,"1483.9;1838.7",264.3,264.3,295.8,295.8,0.1265,28.2,0.0068,0.0059,0.0122,261,158,28,1,0,1,0,37325,1.53,0.02,0.53,0.03," "," ",,58," "," "," ",12.79,0.15,11.91,0.79,0.08,254,6,1630,"11540068-2034023",0.46,55,10.035,0.06,2.09,0.04,-20.3529422334,-22.347960294,0.0737584811,0.9624144216,74.2413870736,262.8576998012,259.4256998012,259.467792992,269.6008987111,"None","None","None",,"None","None",,"None","None","None","None",0
81,63,"HIPASSJ1200-01","run1/night2","23.05.2012","NGC_4030","problem with guiding",1,"12h00m23.6s ","-01d06m00s","not used","reduction issues","SA(s)bc        HII  ","Sbc",0.004887,0.000013,3.27,1.71," 11.6g","                    ","                    ","                    ",250.1,11.8,0.724,0.034,27,1466.5,1466.5,1462.5,1462.5,1467.2,1478,1356,1287.5,1828.1,1249.3,1689.6,200.1,3030.3,"1249.3;1689.6",306.5,306.5,348.5,348.5,0.2965,72,0.0117,0.0103,0.0122,362,158,36,1,0,0,1,37845,1.62,0.02,0.14,0.02," "," ",,27," "," "," ",11.42,0.17,11.17,0.21,0.03,329,7,1449,"12002364-0105598",0.88,40,7.33,0.015,9.9,0.026,-20.8928997515,-24.7945973964,0.5178647121,0.6943596243,43.9762094883,305.0094189695,301.5774189695,301.6182944347,434.3833999952,"None","None","None",,"None","None",,"None","None","None","None",0
82,64,"HIPASSJ1202+01","run4/night2","16.03.2013","NGC_4045","bad guiding",0,"12h02m42.2s ","+01d58m37s","used",,"SAB(r)a;HII    LINER","Sa",0.006591,0.00001,2.38,1.14," 12.9g","                    ","                    ","                    ",161.5,7.6,0.692,0.049,95,1980.7,2094.1,1974.9,1974.9,1978.5,2105.4,1877.7,1812.6,2336,1767.3,2193.1,402.5,3574.3,"1767.3;2193.1",307.2,80.3,336.5,336.5,0.0932,17.7,0.0071,0.0058,0.0122,362,158,28,1,0,0,0,38031,1.43,0.02,0.16,0.03,0.89,0.02,46.5748269977,95,12.79," ",0.13,12.63,0.16,12.52,0.16,0.02,300,7,1948,"12024226+0158363",0.9,20,8.751,0.026,6.756,0.022,-20.1511934505,-23.9066414019,0.4710126748,0.7273151484,46.6617831712,305.1885025795,301.7565025795,301.7973595865,414.9471659309,109.7587355975,2.8451424856,130.594554914,,174.813992824,2.930029062,,129.7394422501,126.3074422501,125.348438634,172.344050446,1
83,64,"HIPASSJ1202+01","run4/night2","16.03.2013","NGC_4045","bad guiding",0,"12h02m42.2s ","+01d58m37s","used",,"SAB(r)a;HII    LINER","Sa",0.006591,0.00001,2.38,1.14," 12.9g","                    ","                    ","                    ",161.5,7.6,0.692,0.049,95,1980.7,2094.1,1974.9,1974.9,1978.5,2105.4,1877.7,1812.6,2336,1767.3,2193.1,402.5,3574.3,"1767.3;2193.1",307.2,80.3,336.5,336.5,0.0932,17.7,0.0071,0.0058,0.0122,362,158,28,1,0,0,0,38031,1.43,0.02,0.16,0.03,0.89,0.02,46.5748269977,95,12.79," ",0.13,12.63,0.16,12.52,0.16,0.02,300,7,1948,"12024226+0158363",0.9,20,8.751,0.026,6.756,0.022,-20.1511934505,-23.9066414019,0.4710126748,0.7273151484,46.6617831712,305.1885025795,301.7565025795,301.7973595865,414.9471659309,126.6141134914,3.2450306905,130.481086224,,171.198345926,4.2504382461,,129.6267165353,126.1947165353,125.2327341734,172.184966092,0
84,65,"HIPASSJ1208-31","run7/night2","30.05.2014","IC_3015 ","Cloudy + stars in the area??",1,"12h09m00.28s","-31d31m11.6s","not used","so few pixels to work","Sbc: sp        HII  ","Sbc",0.006785,0.000017,2.9,0.7,13.14,181.97,0.244,166,173,12.4,0.234,0.023,166,2036.6,2178,2030.5,2030.5,2030.1,2185.7,1851.6,1762.7,2357.9,1810.9,2242.6,708.9,3656.8,"1810.9;2242.6",352.1,69.3,385.3,385.3,0.0729,18.5,0.0089,0.0078,0.0138,168,158,28,1,0,0,0,38588,1.46,0.03,0.63,0.04," "," ",,166," "," "," ",13.14,0.21,11.87,0.93,0.33," "," ",2028,"12090026-3131114",0.3,-20,8.805,0.023,9.9,0.061,-20.7410136289,-24.0012303539,0.0411465984,0.9792106012,78.2965508495,349.7271016155,346.2951016155,346.3311647049,353.6840433135,"None","None","None",,"None","None",,"None","None","None","None",1
85,66,"HIPASSJ1211-31","run1/night1","22.05.2012","ESO_441G017","2nd object frame hit the zenith(abort)",0,"12h11m07.8s ","-31d07m37s","not used","reduction issues","Sab            HII  ","Sab",0.007062,0.00001,1.7,0.5,13.73,118.85,0.286,82,101.9,12.4,0.282,0.034,82,2140.9,2140.9,2121.2,2121.2,2134,2132.2,1957.2,1868.5,2462,1969.8,2272.3,631,3674,"1969.8;2272.3",125.5,125.5,198.7,198.7,0.1233,14.8,0.0083,0.0072,0.0138,168,158,28,1,0,0,0,38799,1.23,0.05,0.55,0.05," "," ",,82," "," "," ",13.73,0.21,12.88,0.57,0.25," "," ",2200,"12110778-3107373",0.62,80,10.823,0.06,0.63,0.063,-19.8040012512,-21.9656490418,0.0659829784,0.9664455606,75.1154900842,124.6199340259,121.1879340259,120.0874082861,124.2567747005,"None","None","None",,"None","None",,"None","None","None","None",0
86,67,"HIPASSJ1240-05b","run7/night1","29.05.2014","NGC_4602",,1,"12h40m36.85s","-05d07m58.8s","not used","ppxf didn't fit","SAB(rs)bc      Sy1.9","Sbc",0.008469,0.000013,3.4,1.2,12.31,"                    ","                    ","                    ",203.3,9.6,0.347,0.025,105,2535.3,2656.9,2538.2,2538.2,2547.1,2681.7,2445.4,2375.4,2890.8,2272.1,2786.8,980.1,4271.8,"2272.1;2786.8",397.7,154.4,444.9,444.9,0.1236,33,0.0081,0.0071,0.013,364,158,28,1,0,0,0,42476,1.53,0.02,0.46,0.03," "," ",,105," "," "," ",12.31,0.23,11.58,0.68,0.03,417,12,2557,"12403684-0507588",0.41,-77,8.539,0.027," ",0.024,-21.4595289052,-24.678833973,0.107372609,0.9447896014,70.8721243092,394.360163773,390.928163773,390.9601364818,413.8065616836,"None","None","None",,"None","None",,"None","None","None","None",1
87,68,"HIPASSJ1241-03","run1/night2","23.05.2012","CGCG_014-104",,1,"12h41m22.9s ","-03d03m29s","not used","reduction issues","SA0+                ","S0",0.004862,0.000005,1.27,0.54," 14.7g","                    ","                    ","                    ",86.7,27.6,0.398,0.07,"                    ",1444.7,1444.7,1445.7,1445.7,1442.9,1438,1347.7,1279.9,1785.3,1352.2,1548.2,200.1,3030.3,"1352.2;1548.2",102.2,102.2,143.2,143.2,0.0465,4.6,0.0086,0.0076,0.013,364,158,28,1,0,0,0,42559,1.16,0.12,0.4,0.07," "," ",," "," "," "," ",14.46,0.16,14.41,0,0.03," "," "," ","12412293-0303290",0.48,-35,11.376,0.128,5.333,,-17.5916286165,-20.6805124724,0.1461945203,0.9240159521,67.5204336802,101.705507821,98.273507821,96.3822067295,104.3079467564,"None","None","None",,"None","None",,"None","None","None","None",0
88,69,"HIPASSJ1244-40","run6/night2","03.04.2014","NGC_4650A","misguided? (+cosmic ray)",1,"12h44m49.06s","-40d42m51.5s","not used","so few pixels to work","S0/a pec:","S0a",0.009607,0.00001,1.6,0.8,13.9,82.22,0.612,163,95.1,11.6,0.513,0.063,158,2907.3,2907.3,2906.6,2906.6,2908,3004.3,2731.7,2643.2,3194,2732.1,3083.7,1358.6,4473.1,"2732.1;3083.7",237.2,237.2,263.9,263.9,0.1256,22.8,0.0068,0.0058,0.013,128,158,28,1,0,0,0,42951,1.2,0.05,0.29,0.05," "," ",,158,13.9,"S",0.2,14.09,0.21,13.19,0.22,0.54,221,18,2837,"12444906-4042512",0.52,60,11.025,0.044,0.099,0.114,-19.9431682339,-22.3983168267,0.2522593336,0.8647199931,59.8507474879,234.9429035258,231.5109035258,231.5408760712,267.7639905727,"None","None","None",,"None","None",,"None","None","None","None",1
89,70,"HIPASSJ1245-00","run5/night1","04.06.2013","NGC_4666","check?Not nodding?",1,"12h45m08.6s ","-00d27m43s","not used","low snr","SABc:;HII      LINER","Sc",0.005101,0.000017,4.6,1.3,11.49,"                    ","                    ","                    ",274.3,12.9,0.282,0.013,42,1529.3,1621.6,1518,1518,1540.5,1677.9,1455,1390.1,1879.2,1256.8,1779.7,200.1,3030.3,"1256.8;1779.7",360.9,176.2,417.6,417.6,0.3737,93.8,0.008,0.0071,0.013,364,158,28,1,0,0,0,42975,1.66,0.02,0.55,0.02,1.04,0.02,65.7886917686,42,11.49,"M",0.1,11.72,0.14,10.68,0.82,0.06,389,10,1612,"12450867-0027428",0.28,39,7.055,0.018," ",0.025,-21.2922678604,-25.2506405676,0.0659829784,0.9664455606,75.1154900842,359.0683921317,355.6363921317,355.6715223552,368.0202350225,"None","None","None",,"None","None",,"None","None","None","None",1
90,71,"HIPASSJ1250-47","run5/night2","05.06.2013","ESO_268G047","Obj+Sky (Intermittent Cloud); so cloudy for 2nd obj",0,"12h51m06.2s ","-47d38m58s","not used","low snr","(R')SA(r)ab         ","Sab",0.012378,0.000032,1,0.9,14.47,63.1,0.859,158,62.8,11,0.871,0.129,"                    ",3710.8,3710.8,3707,3707,3706.9,3651.7,3525.3,3437.3,3965.6,3581.6,3850.2,2124.6,5314,"3581.6;3850.2",189.8,189.8,231.8,231.8,0.0468,7.8,0.0073,0.0069,0.0115,91,528,28,1,0,0,0,43515,1.02,0.07,0.06,0.06," "," ",," "," "," "," ",14.47,0.21,13.66,0,0.76," "," ",3640,"12510625-4738580",0.92,75,10.934,0.065,1.688,0.135,-20.0266771627,-22.9300521608,0.7550502993,0.4949239342,29.6647345992,187.4793802315,184.0473802315,183.9416845314,371.6564744895,"None","None","None",,"None","None",,"None","None","None","None",1
91,72,"HIPASSJ1251-26","run4/night3","17.03.2013","ESO_507G025","Bad weather cond + mirror cover problem ?",0,"12h51m31.8s ","-26d27m07s","used",,"SA0-;D/cD poss.LINER","S0",0.010788,0.000017,2.3,1.8,13.02,136.46,0.841,93,137.5,16.8,0.776,0.075,102,3234.1,3234.1,3252.5,3219,3236.6,3368.1,3088.2,3004.1,3555.8,2932,3525.2,1559.5,4497,"2932.0;3525.2",337.4,337.4,499.1,432.2,0.2063,66.1,0.0253,0.0218,0.0145,214,158,44,1,0,0,1,43557,1.36,0.05,0.11,0.04,0.81,0.02,38.7392537421,102,12.61," ",0.13,12.47,0.21,12.21,0,0.31," "," ",3267,"12513184-2627077",0.74,90,8.312,0.021,9.293,0.089,-21.3435931363,-25.323996279,0.5967528268,0.635017459,39.4212793796,333.79897664,330.36697664,330.4047188318,520.3080862661,256.3361128963,4.1196674752,"None",,"None","None","nearly face on","None","None","None","None",1
92,72,"HIPASSJ1251-26","run4/night3","17.03.2013","ESO_507G025","Bad weather cond + mirror cover problem ?",0,"12h51m31.8s ","-26d27m07s","used",,"SA0-;D/cD poss.LINER","S0",0.010788,0.000017,2.3,1.8,13.02,136.46,0.841,93,137.5,16.8,0.776,0.075,102,3234.1,3234.1,3252.5,3219,3236.6,3368.1,3088.2,3004.1,3555.8,2932,3525.2,1559.5,4497,"2932.0;3525.2",337.4,337.4,499.1,432.2,0.2063,66.1,0.0253,0.0218,0.0145,214,158,44,1,0,0,1,43557,1.36,0.05,0.11,0.04,0.81,0.02,38.7392537421,102,12.61," ",0.13,12.47,0.21,12.21,0,0.31," "," ",3267,"12513184-2627077",0.74,90,8.312,0.021,9.293,0.089,-21.3435931363,-25.323996279,0.5967528268,0.635017459,39.4212793796,333.79897664,330.36697664,330.4047188318,520.3080862661,253.5957077195,4.0089121544,"None",,"None","None","nearly face on","None","None","None","None",0
93,73,"HIPASSJ1252-39","run4/night4","18.03.2013","ESO_323G025","Bad weather cond",0,"12h52m39.0s ","-39d01m42s","not used","low snr","(R)SA(rs)b          ","Sb",0.014081,0.000023,2,1.1,13.39,95.5,0.593,98,122.5,11.8,0.562,0.054,98,4221.5,4065,4201.8,4201.8,4216.1,4057.6,4045.8,3958.1,4503.4,3955,4489.6,2570.4,5891.9,"3955.0;4489.6",372.8,59.7,441.8,441.8,0.0719,18.1,0.0079,0.0067,0.013,128,158,28,1,0,0,0,43701,1.31,0.04,0.25,0.04," "," ",,98," "," "," ",13.39,0.21,12.64,0.37,0.35," "," ",4196,"12523901-3901418",0.66,-60,9.732,0.031,2.61,0.094,-21.338792209,-24.4387588345,0.3062375873,0.8329240138,56.4002871125,367.6234935868,364.1914935868,364.2258057708,437.2857544581,"None","None","None",,"None","None",,"None","None","None","None",1
94,73,"HIPASSJ1252-39","run4/night4","18.03.2013","ESO_323G025","Bad weather cond",0,"12h52m39.0s ","-39d01m42s","not used","low snr","(R)SA(rs)b          ","Sb",0.014081,0.000023,2,1.1,13.39,95.5,0.593,98,122.5,11.8,0.562,0.054,98,4221.5,4065,4201.8,4201.8,4216.1,4057.6,4045.8,3958.1,4503.4,3955,4489.6,2570.4,5891.9,"3955.0;4489.6",372.8,59.7,441.8,441.8,0.0719,18.1,0.0079,0.0067,0.013,128,158,28,1,0,0,0,43701,1.31,0.04,0.25,0.04," "," ",,98," "," "," ",13.39,0.21,12.64,0.37,0.35," "," ",4196,"12523901-3901418",0.66,-60,9.732,0.031,2.61,0.094,-21.338792209,-24.4387588345,0.3062375873,0.8329240138,56.4002871125,367.6234935868,364.1914935868,364.2258057708,437.2857544581,"None","None","None",,"None","None",,"None","None","None","None",0
95,74,"HIPASSJ1253-48","run5/night1","04.06.2013","NGC_4785",,0,"12h53m27.3s ","-48d44m57s","not used","low snr","(R')SAB(r)ab   Sy2  ","Sab",0.012269,0.000042,1.9,1,13.21,121.62,0.48,81,117,11.3,0.49,0.06,81,3678.3,3826.5,3676.9,3749.4,3664.6,3841,3482.9,3395.2,3917.8,3385.1,3966.5,2343,5377.9,"3385.1;3966.5",520.4,94.4,550.5,405.4,0.0366,11.7,0.0061,0.0059,0.0115,91,158,28,1,0,0,0,43791,1.29,0.04,0.31,0.05," "," ",,81," "," "," ",13.21,0.21,11.79,0.43,0.96," "," ",3735,"12532731-4844569",0.48,80,8.567,0.02,5.378,0.163,-21.8906012344,-25.3758764547,0.2287776906,0.878192638,61.4251051003,514.0925979162,510.6605979162,510.6850754272,581.5182835263,"None","None","None",,"None","None",,"None","None","None","None",1
96,74,"HIPASSJ1253-48","run5/night1","04.06.2013","NGC_4785",,0,"12h53m27.3s ","-48d44m57s","not used","low snr","(R')SAB(r)ab   Sy2  ","Sab",0.012269,0.000042,1.9,1,13.21,121.62,0.48,81,117,11.3,0.49,0.06,81,3678.3,3826.5,3676.9,3749.4,3664.6,3841,3482.9,3395.2,3917.8,3385.1,3966.5,2343,5377.9,"3385.1;3966.5",520.4,94.4,550.5,405.4,0.0366,11.7,0.0061,0.0059,0.0115,91,158,28,1,0,0,0,43791,1.29,0.04,0.31,0.05," "," ",,81," "," "," ",13.21,0.21,11.79,0.43,0.96," "," ",3735,"12532731-4844569",0.48,80,8.567,0.02,5.378,0.163,-21.8906012344,-25.3758764547,0.2287776906,0.878192638,61.4251051003,514.0925979162,510.6605979162,510.6850754272,581.5182835263,"None","None","None",,"None","None",,"None","None","None","None",0
97,75,"HIPASSJ1258-46","run6/night2","03.04.2014","NGC_4835","guided but some cloud",1,"12h58m07.84s","-46d15m51.2s","not used","low snr","SAB:(s)b            ","Sb",0.007275,0.000017,4,0.9,12.45,309.03,0.167,150,238.9,17.1,0.214,0.015,150,2181.5,2181.5,2178.7,2178.7,2186.4,2252.6,2009.1,1921.5,2446.8,1926.9,2413.9,562.8,3815.5,"1926.9;2413.9",371.7,371.7,407,407,0.1548,47.8,0.008,0.0058,0.0115,91,158,28,1,0,0,0,44409,1.6,0.03,0.67,0.03," "," ",,150," "," "," ",12.45,0.15,10.99,0.98,0.47,369,12,2226,"12580782-4615511",0.24,-30,8.181,0.019,2.778,0.102,-21.7002319507,-24.7511282391,0.031766253,0.9839886925,79.7332684538,369.0154128714,365.5834128714,365.6175952447,371.5668665974,"None","None","None",,"None","None",,"None","None","None","None",1
98,76,"HIPASSJ1319-27","run1/night6","27.05.2012","NGC_5078",,1,"13h19m50.0s ","-27d24m37s","used",,"SA(s)a: sp    LINER?","Sa",0.007232,0.00002,4,1.9,11.77,285.1,0.583,148,238.9,17.1,0.49,0.035,148,2163.4,1924.8,2184.9,1955.1,2134.3,1891.5,1998.9,1917.3,2432.5,1812.4,2541.3,870.1,4005.3,"1812.4;2541.3",586.9,109.9,662.6,203,0.0706,15.8,0.0082,0.0074,0.0138,215,158,28,1,0,1,0,46490,1.6,0.03,0.31,0.03,1.04,0.07,65.7886917686,148,12," ",0.2,11.53,0.21,11.15,0.32,0.28,582,12,2157,"13195002-2724362",0.44,-35,7.123,0.013,9.9,0.064,-21.757647128,-25.7520747095,0.2287776906,0.878192638,61.4251051003,582.6860147414,579.2540147414,579.2755938187,659.6224663984,206.3139058371,2.3916782845,399.095284452,,55.1825716996,4.0850901955,,396.2297508935,392.7977508935,392.8295715888,447.3159471082,1
99,77,"HIPASSJ1320-21","run1/night6","27.05.2012","NGC_5084",,1,"13h20m16.9s ","-21d49m39s","used",,"S0       poss. LINER","S0",0.005741,0.00001,9.3,1.7,11.41,653.13,0.147,80,560,26.4,0.186,0.013,80,1722.2,1977.6,1721.2,1721.2,1716.7,2011.8,1594.2,1515.6,2023.2,1305.6,2081.8,586.2,3437.3,"1305.6;2081.8",646.4,135.7,679.9,679.9,0.2883,110.5,0.0205,0.0157,0.0138,215,264,36,1,0,1,1,46525,1.97,0.02,0.73,0.03,1.23,0.04,101.8946191477,80,11.63," ",0.15,11.68,0.13,11.28,0,0.35," "," ",1706,"13201692-2149392",0.38,80,7.058,0.027," ",0.117,-20.9610697983,-25.4532041473,0.0205698915,0.9896616131,81.7540843139,642.7102007376,639.2782007376,639.297753741,645.9761046146,224.1119406501,2.8549452897,329.250361475,,174.107003411,2.8267304926,,327.3709249946,323.9389249946,323.9773695351,327.3617620755,1
100,78,"HIPASSJ1321-36","run7/night2","30.05.2014","NGC_5102","So cloudy",1,"13h21m57.61s","-36d37m48.9s","used",,"SA0-           HII  ","S0",0.001561,0.000007,8.7,2.8,10.35,582.1,0.417,48,522.6,37.4,0.324,0.023,48,468,468,467.7,467.7,463.6,389.5,311.1,226.6,739.8,306.8,627.8,200.1,3030.3,"306.8;627.8",204.2,204.2,231.3,231.3,0.5119,88.5,0.0139,0.0107,0.0115,170,158,36,1,0,0,1,46674,1.94,0.03,0.49,0.03,0.9,0.04,47.6596940835,48,10.35,"S",0.1,9.97,0.14,9.99,0,0.22,196,8,515,"13215765-3637487",0.48,48,6.917,0.038," ",0.055,-20.3663764348,-23.2762346214,0.0916323608,0.9530832278,72.3796526967,203.8817406029,200.4497406029,200.4199109607,210.2858439906,42.1147167359,2.4613170322,"None",,"None","None","no clear rotation","None","None","None","None",1
101,79,"HIPASSJ1324-37","run7/night1","29.05.2014","NGC_5121",,1,"13h24m45.61s","-37d40m55.9s","used",,"SA(rs)a             ","Sa",0.004913,0.000023,1.9,1.5,11.51,121.62,0.8,36,117,11.3,0.776,0.075,36,1469.5,1419.9,1471.7,1471.7,1465.5,1358.1,1312.5,1228.1,1737,1302.7,1633.3,200.1,3030.3,"1302.7;1633.3",252,152.8,276.7,276.7,0.0531,10.6,0.0077,0.0065,0.0115,170,158,28,1,0,1,0,46896,1.29,0.04,0.11,0.04,0.82,0.01,39.6416068805,36,11.51,"V",0.13,12.49,0.15,12.12,0.11,0.24," "," ",1502,"13244558-3740559",0.74,35,8.457,0.019,9.9,0.073,-19.8218753505,-23.5926713193,0.5967528268,0.635017459,39.4212793796,250.7679769293,247.3359769293,247.3752698831,389.5566434932,113.4829832535,1.6089868625,97.9284799276,,120.553780494,4.8728320847,,97.4497095048,94.0177095048,91.9523425152,144.8028573289,1
102,80,"HIPASSJ1325-21","run4/night1","15.03.2013","NGC_5134",,0,"13h25m18.5s ","-21d08m03s","used",,"(R)SAB(r)a     HII  ","Sa",0.005864,0.000007,2.8,1.7,12.83,165.96,0.68,155,165.3,7.8,0.603,0.028,155,1749.9,1749.9,1754.1,1754.1,1747.3,1731.3,1629.4,1551.9,2050.5,1638.7,1862,264.7,3184.1,"1638.7;1862.0",138.5,138.5,173.9,173.9,0.0699,8.9,0.0081,0.0072,0.013,264,158,28,1,0,0,0,46938,1.44,0.02,0.22,0.02,1.04,0.03,65.7886917686,155,12.14," ",0.14,12.23,0.16,11.56,0.31,0.3,132,5,1745,"13251856-2108030",0.46,-25,8.188,0.023,9.9,0.092,-20.699955293,-24.2349851597,0.353772377,0.8038828416,53.502502668,137.692570765,134.260570765,133.4964424373,166.0645501195,82.4528404494,1.53272432,"None",,"None","None","no clear rotation","None","None","None","None",1
103,80,"HIPASSJ1325-21","run4/night1","15.03.2013","NGC_5134",,0,"13h25m18.5s ","-21d08m03s","used",,"(R)SAB(r)a     HII  ","Sa",0.005864,0.000007,2.8,1.7,12.83,165.96,0.68,155,165.3,7.8,0.603,0.028,155,1749.9,1749.9,1754.1,1754.1,1747.3,1731.3,1629.4,1551.9,2050.5,1638.7,1862,264.7,3184.1,"1638.7;1862.0",138.5,138.5,173.9,173.9,0.0699,8.9,0.0081,0.0072,0.013,264,158,28,1,0,0,0,46938,1.44,0.02,0.22,0.02,1.04,0.03,65.7886917686,155,12.14," ",0.14,12.23,0.16,11.56,0.31,0.3,132,5,1745,"13251856-2108030",0.46,-25,8.188,0.023,9.9,0.092,-20.699955293,-24.2349851597,0.353772377,0.8038828416,53.502502668,137.692570765,134.260570765,133.4964424373,166.0645501195,77.3015447297,1.5406316449,"None",,"None","None","no clear rotation","None","None","None","None",0
